conditionCode,conditionName,applicable_gender,pediatric_assessment,presentingComplaint1,presentingComplaint2,presentingComplaint3,presentingComplaint4,presentingComplaint5,presentingComplaint6,presentingPart1,presentingPart2,presentingPart3,presentingPart4,presentingPart5,presentingPart6,assessmentQuery1,assessmentQuery2,assessmentQuery3,assessmentQuery4,assessmentQuery5,assessmentQuery6,assessmentQuery7,assessmentQuery8,source,auxilliaryQuery1,auxilliaryQuery2,auxilliaryQuery3,prevalence_DecisionWeight
C53,Bursitis,All,FALSE,Joint pain,Sweeling in joint,,,,,Joints,,,,,,Do you have pain on touching the joint?,Have you noticed a decrease in ability to move the joint?,Is the affected joint red or warm?,Have you recently injured the joint ?,Can you feel a fluid-filled sac over the affected joint?,,,,https://bestpractice.bmj.com/topics/en-gb/523?q=Bursitis&c=suggested,Do you have any underlying medical conditions like arthritis or gout?,,,"1/100,000 person"
C54,Carpal tunnel syndrome,All,FALSE,Numb hands,pain in wrist,,,,,Wrist,,,,,,Have you noticed any weakness in your hand making it difficult to grasp or hold obejcts?,Do you feel a burning sensation in your hands or wrist?,Is there pain in your hand at night or after prolonged use?,,,,,,https://bestpractice.bmj.com/topics/en-gb/380?q=Carpal%20tunnel%20syndrome&c=suggested,"Do you have a hobby or job which requires repetitive hand movements like typing, sewing, playing instruments?",Is there a family history of carpel tunnel syndrome?,,3.80%
C55,Cataract,All,FALSE,Blurred vision,Glare from lights ,,,,,eyes,,,,,,Have you noticed any changes in color vision such as faded colors ?,Have you noticed a gradual blurring of vision?,Have you had trouble seeing at night or in low-light condition?,,,,,,https://bestpractice.bmj.com/topics/en-gb/499?q=Cataracts&c=suggested,Do yoi have diabetes?,Are you taking long term steroids?,,70% in older population
C56,Cellulitis,All,FALSE,Redness,Warmth,Swollen skin,Blister,Fever,Generalised weakness,Skin,Lower limbs,Face,,,,Do you notice any red spots in the affected area?,Does it affect both sides of the body?,Do you have obesity? ,Have you been diagnosed with diabetes? ,,,,,https://bestpractice.bmj.com/topics/en-gb/3000172,Have your CRP levels increased? ,Is your ESR value elevated?,,
C57,Hypothyroidism,All,FALSE,Tired,Constipation,Mild weight gain,Depression,Irregularity in periods,Loss of hunger,neck,throat,stomach,abdomen,,,Have you gained weight despite a loss of hunger?,Have you noticed a change in your voice?,Do you have high blood pressure?,Are you sensitive to cold?,Are you using non-iodized salt?,Does anyone else in the family have a similar illness?,,,https://bestpractice.bmj.com/topics/en-gb/535,Is your TSH level elevated to more than 10 mIU/L? ,Is your free T4 level decreased to less than 0.8 ng/dL?,,4% - 18 to 24 years women 21% - > 74 years women 3% -18 to 24 years men 16% - > 74 years men
C58,Cervical cancer,Female,FALSE,Increased menstrual bleeding  ,Bleeding after intercourse,Discharge ,Back pain ,Painful intercourse,,Genitals ,Vagina,,,,,Have you had multiple partners in your life?,Were you involved in sexual activity before the age of 18?,Do you have a history of smoking?,,,,,,https://bestpractice.bmj.com/topics/en-gb/259,Have you been infected with Human Papillomavirus (HPV)?,Are you in the 45 to 49 years age group?,Do you have Acquired Immune Deficiency Syndrome (AIDS)?,
C59,Cervicitis,Female,FALSE,Discharge,Bleeding in between periods ,Bleeding after intercourse,Painful urination,Increased urination,,Genitals ,Vagina,,,,,Have you had multiple sexual partners in your life?,"Does it bleed on using a tampon?
",Have you ever contracted a sexually transmitted disease?,,,,,,https://bestpractice.bmj.com/topics/en-gb/662,Are you in the 15 to 24 years age group?,Are you a sex worker by occupation?,,"715.1 cases per 100,000"
C60,Cholelithiasis (gall stones),All,FALSE,Pain in upper abdomen,Nausea and vomiting,,,,,Upper Abdomen,,,,,,Do you experience sharp rising pain lasting for minutes?,Does the pain occur after food?,Do you experience nausea and voimting after a pain episode?,Have you been diagnosed with high cholestrol?,,,,,https://bestpractice.bmj.com/topics/en-gb/3000206?q=Cholelithiasis%20(gallstones)&c=suggested,Are you over weight?,"Do you use mediciines like estrogen therapy, statibs?",,10-25%
C61,Cholesteatoma,All,FALSE,Ear pain,Discharge from ear,Hearing loss,,,,ear,,,,,,Do you have a persistant foul smelling discharge from ear?,Have you noticed a decrease in hearing?,Do you have history of frequent ear infections?,Have you experienced trauma to you ear?,,,,,https://bestpractice.bmj.com/topics/en-gb/1033,Do you experience weakness in facial muscles?,Do you experience nay spinning sensation?,,0.1%%
C62,Chronic kidney disease,All,FALSE,Fatigue,difficulty breathing,swelling in legs,,,,chest ,Legs,,,,,Have you noticed any changes in urine output?,"Have you noticed swelling in legs, ankle, foot?",Do you have high blood pressure?,Do you feel tired or fatigued?,Have you been diagnosed with diabetes?,Are you taking pain killers or other such medicines?,,,https://bestpractice.bmj.com/topics/en-gb/84?q=Chronic%20kidney%20disease&c=suggested,Have you had a urine test that showed protein in urine?,Do you smoke cigarettes ?,,10%
C63,Chronic coronary disease,All,FALSE,Chest pain,difficulty breathing,Fatigue,,,,Chest,,,,,,Do you have squeezing type chest pain?,Does the pain occur during physical activity?,Do you experience difficulty in breathing ?,Do you have high cholestrol?,,,,,https://bestpractice.bmj.com/topics/en-gb/148?q=Chronic%20coronary%20disease&c=suggested,Do you smoke?,"Do you have diseases like diabetes, high bloob pressure or are you over weight?",,2.5-12%
